-2832.0 2888.0 0.0 0.0 0.0 0.25 0.0	3000.0 2888.0 0.0 0.0 0.0 0.25 0.0	-2832.0 3000.0 0.0 0.0 0.0 0.25 0.0	3000.0 3000.0 0.0 0.0 0.0 0.25 0.0  1
-3000.0 2942.0 0.0 0.0 0.0 0.25 0.0	-2832.0 2942.0 0.0 0.0 0.0 0.25 0.0	-3000.0 3000.0 0.0 0.0 0.0 0.25 0.0	-2832.0 3000.0 0.0 0.0 0.0 0.25 0.0  1
160.0 2570.0 0.0 0.0 0.0 0.25 0.0	728.0 2570.0 0.0 0.0 0.0 0.25 0.0	160.0 2888.0 0.0 0.0 0.0 0.25 0.0	728.0 2888.0 0.0 0.0 0.0 0.25 0.0  1
-280.0 -2140.0 0.0 0.0 0.0 0.25 0.0	-140.0 -2140.0 0.0 0.0 0.0 0.25 0.0	-280.0 -1160.0 0.0 0.0 0.0 0.25 0.0	-140.0 -1160.0 0.0 0.0 0.0 0.25 0.0  1
2850.0 -3000.0 0.0 0.0 0.0 0.25 0.0	3000.0 -3000.0 0.0 0.0 0.0 0.25 0.0	2850.0 -1160.0 0.0 0.0 0.0 0.25 0.0	3000.0 -1160.0 0.0 0.0 0.0 0.25 0.0  1
2600.0 -1160.0 0.0 0.0 0.0 0.25 0.0	3000.0 -1160.0 0.0 0.0 0.0 0.25 0.0	2600.0 -1020.0 0.0 0.0 0.0 0.25 0.0	3000.0 -1020.0 0.0 0.0 0.0 0.25 0.0  1
1870.0 -1310.0 0.0 0.0 0.0 0.25 0.0	2008.0 -1310.0 0.0 0.0 0.0 0.25 0.0	1870.0 -1160.0 0.0 0.0 0.0 0.25 0.0	2008.0 -1160.0 0.0 0.0 0.0 0.25 0.0  1
700.0 -3000.0 0.0 0.0 0.0 0.25 0.0	1700.0 -3000.0 0.0 0.0 0.0 0.25 0.0	700.0 -1160.0 0.0 0.0 0.0 0.25 0.0	1700.0 -1160.0 0.0 0.0 0.0 0.25 0.0  1
-140.0 -3000.0 0.0 0.0 0.0 0.25 0.0	700.0 -3000.0 0.0 0.0 0.0 0.25 0.0	-140.0 -2070.0 0.0 0.0 0.0 0.25 0.0	700.0 -2070.0 0.0 0.0 0.0 0.25 0.0  1
-140.0 -2070.0 0.0 0.0 0.0 0.25 0.0	700.0 -2070.0 0.0 0.0 0.0 0.25 0.0	-140.0 -1160.0 0.0 0.0 0.0 0.25 0.0	700.0 -1160.0 0.0 0.0 0.0 0.25 0.0  1
-200.0 -2850.0 0.0 0.0 0.0 0.25 0.0	-140.0 -2850.0 0.0 0.0 0.0 0.25 0.0	-200.0 -2760.0 0.0 0.0 0.0 0.25 0.0	-140.0 -2760.0 0.0 0.0 0.0 0.25 0.0  1
-1640.0 -3000.0 0.0 0.0 0.0 0.25 0.0	-140.0 -3000.0 0.0 0.0 0.0 0.25 0.0	-1640.0 -2850.0 0.0 0.0 0.0 0.25 0.0	-140.0 -2850.0 0.0 0.0 0.0 0.25 0.0  1
1870.0 -1160.0 0.0 0.0 0.0 0.25 0.0	2270.0 -1160.0 0.0 0.0 0.0 0.25 0.0	1870.0 -1020.0 0.0 0.0 0.0 0.25 0.0	2270.0 -1020.0 0.0 0.0 0.0 0.25 0.0  1
-120.0 -1160.0 0.0 0.0 0.0 0.25 0.0	1870.0 -1160.0 0.0 0.0 0.0 0.25 0.0	-120.0 -1020.0 0.0 0.0 0.0 0.25 0.0	1870.0 -1020.0 0.0 0.0 0.0 0.25 0.0  1
-50.0 -1020.0 0.0 0.0 0.0 0.25 0.0	3000.0 -1020.0 0.0 0.0 0.0 0.25 0.0	-50.0 1200.0 0.0 0.0 0.0 0.25 0.0	3000.0 1200.0 0.0 0.0 0.0 0.25 0.0  1
1870.0 -3000.0 0.0 0.0 0.0 0.25 0.0	2270.0 -3000.0 0.0 0.0 0.0 0.25 0.0	1870.0 -2810.0 0.0 0.0 0.0 0.25 0.0	2270.0 -2810.0 0.0 0.0 0.0 0.25 0.0  1
2270.0 -3000.0 0.0 0.0 0.0 0.25 0.0	2850.0 -3000.0 0.0 0.0 0.0 0.25 0.0	2270.0 -2860.0 0.0 0.0 0.0 0.25 0.0	2850.0 -2860.0 0.0 0.0 0.0 0.25 0.0  1
1700.0 -3000.0 0.0 0.0 0.0 0.25 0.0	1870.0 -3000.0 0.0 0.0 0.0 0.25 0.0	1700.0 -2650.0 0.0 0.0 0.0 0.25 0.0	1870.0 -2650.0 0.0 0.0 0.0 0.25 0.0  1
1700.0 -1520.0 0.0 0.0 0.0 0.25 0.0	1870.0 -1520.0 0.0 0.0 0.0 0.25 0.0	1700.0 -1160.0 0.0 0.0 0.0 0.25 0.0	1870.0 -1160.0 0.0 0.0 0.0 0.25 0.0  1
1700.0 -2650.0 0.0 0.0 0.0 0.25 0.0	1870.0 -2650.0 0.0 0.0 0.0 0.25 0.0	1700.0 -1520.0 0.0 0.0 0.0 0.25 0.0	1870.0 -1520.0 0.0 0.0 0.0 0.25 0.0  1
2870.0 1200.0 0.0 0.0 0.0 0.25 0.0	3000.0 1200.0 0.0 0.0 0.0 0.25 0.0	2870.0 2888.0 0.0 0.0 0.0 0.25 0.0	3000.0 2888.0 0.0 0.0 0.0 0.25 0.0  1
1700.0 2170.0 0.0 0.0 0.0 0.25 0.0	2400.0 2170.0 0.0 0.0 0.0 0.25 0.0	1700.0 2888.0 0.0 0.0 0.0 0.25 0.0	2400.0 2888.0 0.0 0.0 0.0 0.25 0.0  1
1400.0 1200.0 0.0 0.0 0.0 0.25 0.0	2110.0 1200.0 0.0 0.0 0.0 0.25 0.0	1400.0 1376.0 0.0 0.0 0.0 0.25 0.0	2110.0 1376.0 0.0 0.0 0.0 0.25 0.0  1
1400.0 1376.0 0.0 0.0 0.0 0.25 0.0	1940.0 1376.0 0.0 0.0 0.0 0.25 0.0	1400.0 1480.0 0.0 0.0 0.0 0.25 0.0	1940.0 1480.0 0.0 0.0 0.0 0.25 0.0  1
1400.0 1480.0 0.0 0.0 0.0 0.25 0.0	1850.0 1480.0 0.0 0.0 0.0 0.25 0.0	1400.0 1584.0 0.0 0.0 0.0 0.25 0.0	1850.0 1584.0 0.0 0.0 0.0 0.25 0.0  1
1400.0 1584.0 0.0 0.0 0.0 0.25 0.0	1770.0 1584.0 0.0 0.0 0.0 0.25 0.0	1400.0 1688.0 0.0 0.0 0.0 0.25 0.0	1770.0 1688.0 0.0 0.0 0.0 0.25 0.0  1
1400.0 1688.0 0.0 0.0 0.0 0.25 0.0	1700.0 1688.0 0.0 0.0 0.0 0.25 0.0	1400.0 1792.0 0.0 0.0 0.0 0.25 0.0	1700.0 1792.0 0.0 0.0 0.0 0.25 0.0  1
1400.0 1792.0 0.0 0.0 0.0 0.25 0.0	1640.0 1792.0 0.0 0.0 0.0 0.25 0.0	1400.0 2260.0 0.0 0.0 0.0 0.25 0.0	1640.0 2260.0 0.0 0.0 0.0 0.25 0.0  1
160.0 2500.0 0.0 0.0 0.0 0.25 0.0	790.0 2500.0 0.0 0.0 0.0 0.25 0.0	160.0 2570.0 0.0 0.0 0.0 0.25 0.0	790.0 2570.0 0.0 0.0 0.0 0.25 0.0  1
160.0 2430.0 0.0 0.0 0.0 0.25 0.0	890.0 2430.0 0.0 0.0 0.0 0.25 0.0	160.0 2500.0 0.0 0.0 0.0 0.25 0.0	890.0 2500.0 0.0 0.0 0.0 0.25 0.0  1
160.0 2360.0 0.0 0.0 0.0 0.25 0.0	1070.0 2360.0 0.0 0.0 0.0 0.25 0.0	160.0 2430.0 0.0 0.0 0.0 0.25 0.0	1070.0 2430.0 0.0 0.0 0.0 0.25 0.0  1
160.0 1200.0 0.0 0.0 0.0 0.25 0.0	1230.0 1200.0 0.0 0.0 0.0 0.25 0.0	160.0 2360.0 0.0 0.0 0.0 0.25 0.0	1230.0 2360.0 0.0 0.0 0.0 0.25 0.0  1
1230.0 1200.0 0.0 0.0 0.0 0.25 0.0	1400.0 1200.0 0.0 0.0 0.0 0.25 0.0	1230.0 2317.0 0.0 0.0 0.0 0.25 0.0	1400.0 2317.0 0.0 0.0 0.0 0.25 0.0  1
-1170.0 1200.0 0.0 0.0 0.0 0.25 0.0	160.0 1200.0 0.0 0.0 0.0 0.25 0.0	-1170.0 2888.0 0.0 0.0 0.0 0.25 0.0	160.0 2888.0 0.0 0.0 0.0 0.25 0.0  1
-2832.0 2636.0 0.0 0.0 0.0 0.25 0.0	-1170.0 2636.0 0.0 0.0 0.0 0.25 0.0	-2832.0 2888.0 0.0 0.0 0.0 0.25 0.0	-1170.0 2888.0 0.0 0.0 0.0 0.25 0.0  1
-2832.0 1970.0 0.0 0.0 0.0 0.25 0.0	-1590.0 1970.0 0.0 0.0 0.0 0.25 0.0	-2832.0 2360.0 0.0 0.0 0.0 0.25 0.0	-1590.0 2360.0 0.0 0.0 0.0 0.25 0.0  1
-2832.0 2360.0 0.0 0.0 0.0 0.25 0.0	-1530.0 2360.0 0.0 0.0 0.0 0.25 0.0	-2832.0 2460.0 0.0 0.0 0.0 0.25 0.0	-1530.0 2460.0 0.0 0.0 0.0 0.25 0.0  1
-2832.0 2460.0 0.0 0.0 0.0 0.25 0.0	-1430.0 2460.0 0.0 0.0 0.0 0.25 0.0	-2832.0 2560.0 0.0 0.0 0.0 0.25 0.0	-1430.0 2560.0 0.0 0.0 0.0 0.25 0.0  1
-1670.0 960.0 0.0 0.0 0.0 0.25 0.0	-1170.0 960.0 0.0 0.0 0.0 0.25 0.0	-1670.0 1860.0 0.0 0.0 0.0 0.25 0.0	-1170.0 1860.0 0.0 0.0 0.0 0.25 0.0  1
-2832.0 1900.0 0.0 0.0 0.0 0.25 0.0	-2760.0 1900.0 0.0 0.0 0.0 0.25 0.0	-2832.0 1970.0 0.0 0.0 0.0 0.25 0.0	-2760.0 1970.0 0.0 0.0 0.0 0.25 0.0  1
-1270.0 1860.0 0.0 0.0 0.0 0.25 0.0	-1170.0 1860.0 0.0 0.0 0.0 0.25 0.0	-1270.0 1950.0 0.0 0.0 0.0 0.25 0.0	-1170.0 1950.0 0.0 0.0 0.0 0.25 0.0  1
-1980.0 1860.0 0.0 0.0 0.0 0.25 0.0	-1522.0 1860.0 0.0 0.0 0.0 0.25 0.0	-1980.0 1970.0 0.0 0.0 0.0 0.25 0.0	-1522.0 1970.0 0.0 0.0 0.0 0.25 0.0  1
-1860.0 1730.0 0.0 0.0 0.0 0.25 0.0	-1670.0 1730.0 0.0 0.0 0.0 0.25 0.0	-1860.0 1860.0 0.0 0.0 0.0 0.25 0.0	-1670.0 1860.0 0.0 0.0 0.0 0.25 0.0  1
-1170.0 960.0 0.0 0.0 0.0 0.25 0.0	-50.0 960.0 0.0 0.0 0.0 0.25 0.0	-1170.0 1200.0 0.0 0.0 0.0 0.25 0.0	-50.0 1200.0 0.0 0.0 0.0 0.25 0.0  1
-2210.0 -70.0 0.0 0.0 0.0 0.25 0.0	-1850.0 -70.0 0.0 0.0 0.0 0.25 0.0	-2210.0 120.0 0.0 0.0 0.0 0.25 0.0	-1850.0 120.0 0.0 0.0 0.0 0.25 0.0  1
-2320.0 538.0 0.0 0.0 0.0 0.25 0.0	-1610.0 538.0 0.0 0.0 0.0 0.25 0.0	-2320.0 648.0 0.0 0.0 0.0 0.25 0.0	-1610.0 648.0 0.0 0.0 0.0 0.25 0.0  1
-560.0 420.0 0.0 0.0 0.0 0.25 0.0	-50.0 420.0 0.0 0.0 0.0 0.25 0.0	-560.0 500.0 0.0 0.0 0.0 0.25 0.0	-50.0 500.0 0.0 0.0 0.0 0.25 0.0  1
-360.0 290.0 0.0 0.0 0.0 0.25 0.0	-50.0 290.0 0.0 0.0 0.0 0.25 0.0	-360.0 420.0 0.0 0.0 0.0 0.25 0.0	-50.0 420.0 0.0 0.0 0.0 0.25 0.0  1
-150.0 160.0 0.0 0.0 0.0 0.25 0.0	-50.0 160.0 0.0 0.0 0.0 0.25 0.0	-150.0 290.0 0.0 0.0 0.0 0.25 0.0	-50.0 290.0 0.0 0.0 0.0 0.25 0.0  1
-570.0 -250.0 0.0 0.0 0.0 0.25 0.0	-50.0 -250.0 0.0 0.0 0.0 0.25 0.0	-570.0 -110.0 0.0 0.0 0.0 0.25 0.0	-50.0 -110.0 0.0 0.0 0.0 0.25 0.0  1
-620.0 -110.0 0.0 0.0 0.0 0.25 0.0	-480.0 -110.0 0.0 0.0 0.0 0.25 0.0	-620.0 190.0 0.0 0.0 0.0 0.25 0.0	-480.0 190.0 0.0 0.0 0.0 0.25 0.0  1
-2832.0 -1300.0 0.0 0.0 0.0 0.25 0.0	-2640.0 -1300.0 0.0 0.0 0.0 0.25 0.0	-2832.0 -740.0 0.0 0.0 0.0 0.25 0.0	-2640.0 -740.0 0.0 0.0 0.0 0.25 0.0  1
2686.0 2712.0 0.0 0.0 0.0 0.25 0.0	2870.0 2712.0 0.0 0.0 0.0 0.25 0.0	2686.0 2888.0 0.0 0.0 0.0 0.25 0.0	2870.0 2888.0 0.0 0.0 0.0 0.25 0.0  1
-1050.0 500.0 0.0 0.0 0.0 0.25 0.0	-50.0 500.0 0.0 0.0 0.0 0.25 0.0	-1050.0 960.0 0.0 0.0 0.0 0.25 0.0	-50.0 960.0 0.0 0.0 0.0 0.25 0.0  1
-1610.0 510.0 0.0 0.0 0.0 0.25 0.0	-1410.0 510.0 0.0 0.0 0.0 0.25 0.0	-1610.0 960.0 0.0 0.0 0.0 0.25 0.0	-1410.0 960.0 0.0 0.0 0.0 0.25 0.0  1
-1200.0 190.0 0.0 0.0 0.0 0.25 0.0	-510.0 190.0 0.0 0.0 0.0 0.25 0.0	-1200.0 320.0 0.0 0.0 0.0 0.25 0.0	-510.0 320.0 0.0 0.0 0.0 0.25 0.0  1
-2832.0 2560.0 0.0 0.0 0.0 0.25 0.0	-1360.0 2560.0 0.0 0.0 0.0 0.25 0.0	-2832.0 2636.0 0.0 0.0 0.0 0.25 0.0	-1360.0 2636.0 0.0 0.0 0.0 0.25 0.0  1
-854.0 -1880.0 0.0 0.0 0.0 0.25 0.0	-570.0 -1880.0 0.0 0.0 0.0 0.25 0.0	-854.0 -1160.0 0.0 0.0 0.0 0.25 0.0	-570.0 -1160.0 0.0 0.0 0.0 0.25 0.0  1
-570.0 -2020.0 0.0 0.0 0.0 0.25 0.0	-280.0 -2020.0 0.0 0.0 0.0 0.25 0.0	-570.0 -1738.0 0.0 0.0 0.0 0.25 0.0	-280.0 -1738.0 0.0 0.0 0.0 0.25 0.0  1
-570.0 -1536.0 0.0 0.0 0.0 0.25 0.0	-280.0 -1536.0 0.0 0.0 0.0 0.25 0.0	-570.0 -1160.0 0.0 0.0 0.0 0.25 0.0	-280.0 -1160.0 0.0 0.0 0.0 0.25 0.0  1
-1410.0 504.0 0.0 0.0 0.0 0.25 0.0	-1050.0 504.0 0.0 0.0 0.0 0.25 0.0	-1410.0 636.0 0.0 0.0 0.0 0.25 0.0	-1050.0 636.0 0.0 0.0 0.0 0.25 0.0  1
